ID,Rule,Action,January,February,March,April,May,June,July,August,September,October,November,December
1,is_duplicate,Exclude,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,12/0.0%,0/0.0%
2,missing_datetime,Exclude,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,10118/0.29%,0/0.0%
3,invalid_time_order,Exclude,5642/0.41%,6358/0.46%,6430/0.33%,2965/0.14%,2810/0.11%,2117/0.07%,2017/0.07%,2566/0.09%,2446/0.08%,1710/0.05%,955/0.03%,1174/0.04%
4,invalid_month,Exclude,24/0.0%,31/0.0%,33/0.0%,42/0.0%,94/0.0%,123/0.0%,130/0.0%,526/0.02%,105/0.0%,111/0.0%,9137/0.26%,108/0.0%
5,invalid_duration,Exclude,16119/1.18%,17437/1.27%,20400/1.06%,19510/0.9%,22499/0.9%,24740/0.87%,27180/0.96%,28167/1.01%,28976/0.98%,30122/0.87%,29908/0.86%,30878/0.96%
6,invalid_distance,Exclude,19952/1.46%,18866/1.38%,24430/1.27%,31459/1.45%,32875/1.31%,34150/1.2%,37311/1.32%,37514/1.35%,56141/1.89%,42778/1.24%,35326/1.02%,37010/1.15%
7,invalid_speed,Exclude,24893/1.82%,24629/1.8%,29918/1.55%,33271/1.53%,34053/1.36%,34211/1.21%,36791/1.3%,37802/1.36%,56284/1.9%,42464/1.23%,34536/0.99%,36783/1.14%
8,suspicious_zero_fare,Flag,300/0.02%,335/0.02%,365/0.02%,368/0.02%,376/0.01%,494/0.02%,554/0.02%,644/0.02%,607/0.02%,650/0.02%,740/0.02%,704/0.02%
9,short_duration_long_distance,Flag,6338/0.46%,7797/0.57%,7911/0.41%,5679/0.26%,5574/0.22%,4632/0.16%,4572/0.16%,5170/0.19%,5168/0.17%,3964/0.11%,2935/0.08%,3091/0.1%
10,excessive_speed,Flag,1745/0.13%,2609/0.19%,2872/0.15%,4680/0.22%,5534/0.22%,5122/0.18%,5137/0.18%,5375/0.19%,5486/0.19%,4868/0.14%,4455/0.13%,4445/0.14%
11,excessive_duration,Flag,5/0.0%,1/0.0%,4/0.0%,9/0.0%,8/0.0%,8/0.0%,6/0.0%,15/0.0%,11/0.0%,15/0.0%,216/0.01%,9/0.0%
12,invalid_fare_amount,Flag,6769/0.49%,6791/0.5%,9157/0.48%,9844/0.45%,11018/0.44%,12563/0.44%,13258/0.47%,12725/0.46%,12215/0.41%,14041/0.41%,14935/0.43%,16010/0.5%
13,invalid_tip_amount,Flag,59/0.0%,59/0.0%,114/0.01%,131/0.01%,146/0.01%,159/0.01%,343/0.01%,396/0.01%,276/0.01%,316/0.01%,328/0.01%,298/0.01%
14,invalid_extra,Flag,2292/0.17%,2488/0.18%,3640/0.19%,4100/0.19%,4426/0.18%,5480/0.19%,5801/0.21%,5600/0.2%,5463/0.18%,6383/0.18%,6749/0.19%,7402/0.23%
15,invalid_tolls_amount,Flag,139/0.01%,120/0.01%,154/0.01%,199/0.01%,199/0.01%,283/0.01%,320/0.01%,366/0.01%,365/0.01%,407/0.01%,480/0.01%,591/0.02%
16,invalid_total_amount,Flag,7114/0.52%,7141/0.52%,9637/0.5%,10323/0.48%,11585/0.46%,13217/0.47%,13845/0.49%,13517/0.48%,12985/0.44%,14788/0.43%,15886/0.46%,16913/0.53%
17,fare_total_mismatch,Flag,387093/28.26%,403034/29.38%,566396/29.42%,663102/30.54%,805474/32.13%,923469/32.58%,936985/33.21%,936492/33.58%,1014511/34.23%,1200557/34.66%,1218965/35.1%,1123021/34.94%
18,invalid_payment_type,Flag,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%,0/0.0%
19,invalid_ratecode,Flag,98352/7.18%,98246/7.16%,127920/6.64%,128020/5.9%,127296/5.08%,123538/4.36%,130656/4.63%,135590/4.86%,142854/4.82%,136483/3.94%,127369/3.67%,102371/3.18%
20,unusual_passenger_count,Flag,52095/3.8%,49478/3.61%,69929/3.63%,74856/3.45%,87427/3.49%,112218/3.96%,111040/3.94%,112600/4.04%,112522/3.8%,132110/3.81%,128137/3.69%,114040/3.55%
21,invalid_zone,Flag,27137/1.98%,29892/2.18%,36828/1.91%,38220/1.76%,40262/1.61%,42928/1.51%,47440/1.68%,49913/1.79%,51919/1.75%,56319/1.63%,56333/1.62%,55705/1.73%
NaN,NaN,Total:,528620/38.592%,533088/38.863%,737987/38.334%,839990/38.688%,971102/38.734%,1083768/38.238%,1097633/38.899%,1090822/39.115%,1178496/39.763%,1359072/39.24%,1383103/39.825%,1269991/39.51%
